News Highlights,Publisher Name,Publisher Gmail,Publisher Twitter,News URL,Date,News Image
EU backtracks on plans to ban facial recognition,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/147500,"BRUSSELS, 20. FEB 2020, 07:11",https://media.euobserver.com/60061cf3fcf3e1a546fdccb661be663b-800x.jpg
Zuckerberg lobbies Brussels ahead of new EU rules,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/147475,"BRUSSELS, 18. FEB 2020, 07:03",https://media.euobserver.com/7d3f7f05c41a80c39b245b4a6003c0eb-800x.jpg
Ending shell companies does not threaten privacy,LAURE BRILLAUD,none,none,https://euobserver.com/opinion/147455,"BRUSSELS, 17. FEB 2020, 17:57",https://media.euobserver.com/d84085601fb95558ecb65cc3ae5720e9-800x.jpg
Facebook delays EU roll-out of dating app,EUOBSERVER,none,none,https://euobserver.com/tickers/147443,"14. FEB 2020, 07:02",none
Fundamental snag with new EU money-laundering rules,MARTIN KENNEY,none,none,https://euobserver.com/opinion/147341,"BRITISH VIRGIN ISLANDS/PRESTON, 11. FEB 2020, 07:03",https://media.euobserver.com/727e6b5d497884e11aee8ba3a4ddd0ee-800x.jpg
EU to unveil 5G 'toolbox' to tackle security threats,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/147238,"BRUSSELS, 23. JAN 2020, 07:10",https://media.euobserver.com/f6bd48695a033b1c1a3a57f3dfdfd50c-800x.jpg
UK watchdog unveils online child-privacy standards,EUOBSERVER,none,none,https://euobserver.com/tickers/147240,"22. JAN 2020, 18:51",none
Will US privacy-lite hollow out GDPR?,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/147213,"BRUSSELS, 22. JAN 2020, 07:05",https://media.euobserver.com/2331f2c584f87e7b12de2c469914ddb6-800x.jpg
EU keen to set global rules on artificial intelligence,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/147198,"BRUSSELS, 21. JAN 2020, 07:05",https://media.euobserver.com/60491bdb8da258eece80e9ab8650d522-800x.jpg
"Belgium, France, UK in EU court surveillance blow",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/147158,"BRUSSELS, 16. JAN 2020, 07:06",https://media.euobserver.com/0f5f774a0b031b720d4b86b01625e3d3-800x.jpg
Data watchdog raps EU asylum body for snooping,ALEXANDER FANTA,none,none,https://euobserver.com/investigations/146856,"BRUSSELS, 9. DEC 2019, 15:24",https://media.euobserver.com/3c87bbceb167a299530842ac6728752e-800x.jpg
EU warned over fast-tracking facial recognition,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/146732,"BRUSSELS, 27. NOV 2019, 10:17",https://media.euobserver.com/70727a433a442f8078ef4586ea2121eb-800x.jpg
Microsoft revises data privacy terms following EU probe,EUOBSERVER,none,none,https://euobserver.com/tickers/146631,"18. NOV 2019, 08:54",none
Europe quietly becoming a spy superpower,THORSTEN WETZLING,none,none,https://euobserver.com/opinion/146376,"BERLIN, 23. OCT 2019, 17:35",https://media.euobserver.com/f44733b19d2c0179f8ded77363df9855-800x.jpg
Commission clears EU-US privacy agreement for third year,EUOBSERVER,none,none,https://euobserver.com/tickers/146375,"23. OCT 2019, 14:45",none
EU grills Facebook over Libra risks,EUOBSERVER,none,none,https://euobserver.com/tickers/146182,"7. OCT 2019, 09:15",none
EU sides with Google in data protection case,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/146058,"BRUSSELS, 24. SEP 2019, 17:44",https://media.euobserver.com/9cf026ba6196c5242fecf6ae293a3536-800x.jpg
The truth and reality of China's social credit system,FAN ZHENGJIE AND ZHANG BEI,none,none,https://euobserver.com/stakeholders/145779,"BRUSSELS, 30. AUG 2019, 17:09",https://media.euobserver.com/84673eb8d98d5bdaff8ade06e4d48c7f-800x.jpg
All 'big five' tech firms listened to private conversations,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/145759,"BRUSSELS, 29. AUG 2019, 09:05",https://media.euobserver.com/8f9365989060cd8a7a759c9857de920f-800x.jpg
EU considers new rules on facial recognition,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/145707,"BRUSSELS, 22. AUG 2019, 17:47",https://media.euobserver.com/2d62fc8fb6a9ccafcbe48ccd8ce428ae-800x.jpg
EU data supervisor Buttarelli passes away,EUOBSERVER,none,none,https://euobserver.com/tickers/145697,"21. AUG 2019, 14:12",none
The EU committee's great 'per diem' charade,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/eu-political/145519,"BRUSSELS, 21. AUG 2019, 06:42",https://media.euobserver.com/bb9d512801f97910d2786325c15f0b97-800x.jpg
Polish minister targeted judges in hate campaign,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/rule-of-law/145685,"BRUSSELS, 20. AUG 2019, 09:17",https://media.euobserver.com/5199d5b995587b6b841b6c7b89eeb7df-800x.jpg
EU 'outdoing Bush' on sea and train passenger-data warning,PETER TEFFER,none,none,https://euobserver.com/rule-of-law/145616,"BRUSSELS, 8. AUG 2019, 16:49",https://media.euobserver.com/d05aeb93874999f8eadc511eb10ab387-800x.jpg
EU may extend 'passenger name records' to rail and sea,PETER TEFFER,none,none,https://euobserver.com/rule-of-law/145602,"BRUSSELS, 6. AUG 2019, 16:42",https://media.euobserver.com/25937711ac13add36d287eb334e18446-800x.jpg
"EU defends US data pact, as Facebook court case opens",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/145401,"BRUSSELS, 9. JUL 2019, 17:06",https://media.euobserver.com/cfc32c9bdb2584cd9387fc790808ca89-800x.jpg
EIB blames Ombudsman for not helping redact VW report,PETER TEFFER,none,none,https://euobserver.com/eu-political/145333,"BRUSSELS, 2. JUL 2019, 15:15",https://media.euobserver.com/a4e6849b0e21d7519e09d1c3b7d7db4a-800x.jpg
Facebook has to answer some tough questions about Libra,MARKUS FERBER,none,none,https://euobserver.com/opinion/145281,"BRUSSELS, 28. JUN 2019, 07:55",https://media.euobserver.com/f90ca570c0c0b8f9729089c191664dcc-800x.jpg
"EU anti-trust chief 'hates' US, Trump says",ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/world/145279,"BRUSSELS, 27. JUN 2019, 09:25",https://media.euobserver.com/e357f87ae0e6c17561d931a70f53ccb2-800x.jpg
Angels & demons clash in Europe's culture wars,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/world/144744,"BRUSSELS, 1. MAY 2019, 08:15",https://media.euobserver.com/caf4b4c2a532b5828ab074920f9a72db-800x.jpg
Finland spearheads EU plan for digital revolution,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/green-economy/144289,"BRUSSELS, 28. FEB 2019, 09:08",https://media.euobserver.com/ee3e3c0a1491c26570ac91901bb16144-800x.jpg
Digital 'Iron Curtain' makes no sense in 5G era,ZHANG MING,none,none,https://euobserver.com/stakeholders/144260,"BRUSSELS, 26. FEB 2019, 15:40",https://media.euobserver.com/dc154b5cf9d88431dc589ae5dcc7e16e-800x.jpg
EU wanted to use Facebook's lobby power in US,PETER TEFFER,none,none,https://euobserver.com/digital/144128,"BRUSSELS, 8. FEB 2019, 17:27",https://media.euobserver.com/b3e9d23cc354d5e588a1531576ee2e1c-800x.jpg
EU data verdict imminent on Romania's €20m reporters' fine,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/144008,"BRUSSELS, 25. JAN 2019, 09:29",https://media.euobserver.com/d13bdd40079a1a4d5dbae20dda534b18-800x.jpg
EU repeats threat to US on 'Privacy Shield',EUOBSERVER,none,none,https://euobserver.com/tickers/143763,"19. DEC 2018, 15:24",none
Hackers stole thousands of internal EU files,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/world/143756,"BRUSSELS, 19. DEC 2018, 09:29",https://media.euobserver.com/049059b9c52128c6c764094ca3bf5a14-800x.jpg
Romanian PM wades into '€20m fine for journalists' row,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/143611,"BRUSSELS, 5. DEC 2018, 17:15",https://media.euobserver.com/051b4ad2e79e7e8b3c0d69c9053cdc58-800x.jpg
Romania data chief defends forcing press to reveal sources,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/143377,"BRUSSELS, 14. NOV 2018, 09:19",https://media.euobserver.com/f68ff37f68e9ccfdeb630f89f5c5d252-800x.jpg
EU warns Romania not to abuse GDPR against press,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/143356,"BRUSSELS, 12. NOV 2018, 17:19",https://media.euobserver.com/0a88367f12ac62f79be2ac65ca1ee4c9-800x.jpg
UK watchdog refers Facebook to Irish court for data abuse,EUOBSERVER,none,none,https://euobserver.com/tickers/143312,"7. NOV 2018, 09:13",none
EU court chief defends MEPs' expenses secrecy,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/143196,"BRUSSELS, 24. OCT 2018, 17:44",https://media.euobserver.com/1c72fa7817e13930fdf48d97a633ff74-800x.jpg
EU warns US on Privacy Shield data deal,EUOBSERVER,none,none,https://euobserver.com/tickers/142498,"31. JUL 2018, 08:54",none
Europe's tech race - trying to keep pace with US and China,CRAIG J. WILLY,none,none,https://euobserver.com/opinion/142056,"BRUSSELS, 22. JUN 2018, 15:12",https://media.euobserver.com/f90ca570c0c0b8f9729089c191664dcc-800x.jpg
"'Consent' - the good, the bad and the ugly in e-privacy regulation",AXEL VOSS,none,none,https://euobserver.com/opinion/142025,"BRUSSELS, 8. JUN 2018, 17:27",https://media.euobserver.com/e03876a0a08b79bf4a05407e010eb374-800x.jpg
GDPR - a global 'gold standard'?,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141906,"BRUSSELS, 25. MAY 2018, 14:49",https://media.euobserver.com/32ab09ac04b818a559e4109bd882217e-800x.jpg
New GDPR enforcer says complaints imminent,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141903,"BRUSSELS, 25. MAY 2018, 09:29",https://media.euobserver.com/8491ab7ce3a44aa0c2e8eb5cce33a39f-800x.jpg
none,none,none,none,https://euobserver.com/static/privacy,none,none
"Privacy Shield less relevant given GDPR, says data chief",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141886,"BRUSSELS, 24. MAY 2018, 09:29",https://media.euobserver.com/e9d8f3a97d389ca4e3eb1da6f0cb679d-800x.jpg
Feeble EU format deflates Zuckerberg 'hearing',PETER TEFFER,none,none,https://euobserver.com/digital/141878,"BRUSSELS, 23. MAY 2018, 09:25",https://media.euobserver.com/c1f8e7cc98b20862fcae198c8fdaeac7-800x.jpg
Are EU data watchdogs staffed for GDPR?,"NIKOLAJ NIELSEN AND PETER TEFFER, GRAPHIC BY CARMEN AGUILAR - EDJNET",none,none,https://euobserver.com/digital/141875,"BRUSSELS, 22. MAY 2018, 18:01",https://media.euobserver.com/7355eb45e5b8df7beaa488e4d519a567-800x.jpg
Facebook threatened with removal from EU-US data pact,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141869,"BRUSSELS, 22. MAY 2018, 09:27",https://media.euobserver.com/5411342dc1c5b78d3cea25eac2a76d90-800x.jpg
Eight countries to miss EU data protection deadline,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141860,"BRUSSELS, 18. MAY 2018, 12:11",https://media.euobserver.com/8d1436f370547791a20044c26d3422ee-800x.jpg
Facebook CEO causes EU stink ahead of trip,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/rule-of-law/141848,"BRUSSELS, 17. MAY 2018, 09:30",https://media.euobserver.com/77eb9a9fe33e4ec4dad420bc5a9c41f5-800x.jpg
Survey: EU data protection enforcers not prepared,EUOBSERVER,none,none,https://euobserver.com/tickers/141779,"9. MAY 2018, 08:54",none
Austria accused of undermining new EU data law,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141746,"BRUSSELS, 4. MAY 2018, 17:39",https://media.euobserver.com/82acfb61d477bf7c8820ee0708271f2c-800x.jpg
EU tells platforms to sort fake news by October or face new law,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141706,"BRUSSELS, 26. APR 2018, 12:30",https://media.euobserver.com/de48e564500d2396932e174e913617d5-800x.jpg
EU in race to set global Artificial Intelligence ethics standards,PETER TEFFER,none,none,https://euobserver.com/digital/141681,"BRUSSELS, 25. APR 2018, 07:57",https://media.euobserver.com/53f7bd6ec838ee16f488a67862f634be-800x.jpg
Report: Facebook to carve 1.5bn users out of EU privacy law,EUOBSERVER,none,none,https://euobserver.com/tickers/141645,"19. APR 2018, 09:44",none
Tory and National Front websites hid Facebook tracking pixel,PETER TEFFER,none,none,https://euobserver.com/rule-of-law/141589,"BRUSSELS, 13. APR 2018, 07:52",https://media.euobserver.com/885aaed67bcdacd3899d092a46a0d3fc-800x.jpg
"Facebook chief 'surprisingly naive', says EU data lawmaker",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141588,"BRUSSELS, 12. APR 2018, 16:39",https://media.euobserver.com/5411342dc1c5b78d3cea25eac2a76d90-800x.jpg
"Data breach affected 2.7 million people in EU, says Facebook",PETER TEFFER,none,none,https://euobserver.com/rule-of-law/141528,"BRUSSELS, 6. APR 2018, 13:30",https://media.euobserver.com/b3e9d23cc354d5e588a1531576ee2e1c-800x.jpg
New EU privacy rules to benefit Facebook users globally,PETER TEFFER,none,none,https://euobserver.com/world/141520,"BRUSSELS, 5. APR 2018, 09:29",https://media.euobserver.com/f5a7fa8f0d7850c756d9dce36319511d-800x.jpg
Facebook will not apply EU privacy rules globally,EUOBSERVER,none,none,https://euobserver.com/tickers/141506,"4. APR 2018, 09:10",none
It's time we lost our 'cyber-naivety',ANNELEEN VAN BOSSUYT MEP,none,none,https://euobserver.com/opinion/141476,"BRUSSELS, 29. MAR 2018, 09:19",https://media.euobserver.com/1e72aeb01e54a1166dbfeec2a77c2a7d-800x.jpg
Germany pledges 'strict' laws after Facebook data breach,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/rule-of-law/141453,"BRUSSELS, 27. MAR 2018, 09:11",https://media.euobserver.com/cefb2e3a90b99608901595d6f3c9bf2c-800x.jpg
Rushed US Cloud Act triggers EU backlash,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141446,"BRUSSELS, 26. MAR 2018, 17:31",https://media.euobserver.com/918a966edc21065207b9453c0962693d-800x.jpg
Italian prosecutors target Cambridge Analytica,EUOBSERVER,none,none,https://euobserver.com/tickers/141440,"26. MAR 2018, 09:17",none
US passes Cloud Act,EUOBSERVER,none,none,https://euobserver.com/tickers/141438,"26. MAR 2018, 09:16",none
EU data chiefs rally behind UK over Cambridge Analytica,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141415,"BRUSSELS, 23. MAR 2018, 09:26",https://media.euobserver.com/04b907d7c11357cda25828083db1a6f3-800x.jpg
EU to probe UK 'election-rigging' firm,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/rule-of-law/141380,"BRUSSELS, 20. MAR 2018, 09:10",https://media.euobserver.com/999c2beb988a4b907b4fa8d29f7ba2cb-800x.jpg
EU parliament to investigate Facebook data 'breach',EUOBSERVER,none,none,https://euobserver.com/tickers/141371,"19. MAR 2018, 14:43",none
EU e-privacy proposal risks breaking 'Internet of Things',NICK WALLACE,none,none,https://euobserver.com/digital/141302,"BRUSSELS, 13. MAR 2018, 16:51",https://media.euobserver.com/adbafcc54d8763f3f5ba58e8f29808cf-800x.jpg
EU investment bank rejects MEPs' plea for VW fraud report,PETER TEFFER,none,none,https://euobserver.com/eu-political/141178,"BRUSSELS, 2. MAR 2018, 15:00",https://media.euobserver.com/a69faca1a263e4532046aae564f06086-800x.jpg
Frontex: Europe's new law enforcement agency?,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/141062,"BRUSSELS, 22. FEB 2018, 13:50",https://media.euobserver.com/562343449f74bff5da46dec04f452b63-800x.jpg
Data privacy chiefs wary of lagging EU states,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/140900,"BRUSSELS, 7. FEB 2018, 17:55",https://media.euobserver.com/82acfb61d477bf7c8820ee0708271f2c-800x.jpg
Austria privacy chief to head EU data protection group,EUOBSERVER,none,none,https://euobserver.com/tickers/140897,"7. FEB 2018, 14:18",none
Frontex naval operation to look for 'foreign fighters',NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/migration/140806,"BRUSSELS, 1. FEB 2018, 17:02",https://media.euobserver.com/9bb37e1c79bb0e09b015892fbc9f920b-800x.jpg
26 EU states not ready for data law,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/140683,"BRUSSELS, 24. JAN 2018, 18:47",https://media.euobserver.com/7cc568f7017c71685dd0e6656b19cc5a-800x.jpg
Facebook promises more privacy ahead of new EU rules,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/140659,"BRUSSELS, 23. JAN 2018, 14:51",https://media.euobserver.com/cefb2e3a90b99608901595d6f3c9bf2c-800x.jpg
Europe is lacking tech leadership,SAM ALVIS,none,none,https://euobserver.com/opinion/140640,"LONDON, 23. JAN 2018, 12:41",https://media.euobserver.com/647200f70024a8e9f1c19be1c24a75bb-800x.jpg
e-Privacy law would penalise sites who block ad-blockers,NICK WALLACE AND DANIEL CASTRO,none,none,https://euobserver.com/digital/140397,"BRUSSELS, 22. DEC 2017, 11:40",https://media.euobserver.com/82acfb61d477bf7c8820ee0708271f2c-800x.jpg
Watchdogs concerned by EU-US data pact,PETER TEFFER,none,none,https://euobserver.com/rule-of-law/140172,"BRUSSELS, 6. DEC 2017, 09:29",https://media.euobserver.com/9cd1af1d1cd5e8c20dd9c6ef2046b401-800x.jpg
"Suddenly, digital single market doesn't 'need' EU agency",PETER TEFFER,none,none,https://euobserver.com/digital/140162,"BRUSSELS, 5. DEC 2017, 16:12",https://media.euobserver.com/1a0f711343b032e03b0edfffbe22fcee-800x.jpg
New EU drone rules take full flight later,PETER TEFFER,none,none,https://euobserver.com/digital/140105,"BRUSSELS, 30. NOV 2017, 16:17",https://media.euobserver.com/c092f30abed865fa5c3f45705e57880c-800x.jpg
Some EU regulators still don't get internet economics,NICK WALLACE AND DANIEL CASTRO,none,none,https://euobserver.com/digital/139878,"BRUSSELS, 15. NOV 2017, 09:24",https://media.euobserver.com/e03876a0a08b79bf4a05407e010eb374-800x.jpg
Austrian privacy case against Facebook hits legal snag,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139872,"BRUSSELS, 14. NOV 2017, 17:04",https://media.euobserver.com/67c09d4b84987a1366194894f678b3e2-800x.jpg
EU Parliament 'cookie' restrictions worry online media,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139868,"BRUSSELS, 14. NOV 2017, 15:13",https://media.euobserver.com/a4e24ae75a903090a76faa90dc191bde-800x.jpg
Malta denies secrecy in 'Paradise Papers' leak,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139765,"BRUSSELS, 6. NOV 2017, 16:46",https://media.euobserver.com/cf76c95be1da5dc32082aeea25369112-800x.jpg
UK tech worried over post-Brexit data sharing,BENJAMIN FOX,none,none,https://euobserver.com/rule-of-law/139719,"LONDON, 2. NOV 2017, 07:37",https://media.euobserver.com/d4df1726565982c3825a2f2308a8ef83-800x.jpg
"Privacy rules to create jobs, EU data chief says",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139639,"BRUSSELS, 25. OCT 2017, 15:46",https://media.euobserver.com/06556399a52dc55148584038dbf212f8-800x.jpg
Digital health has potential but needs to be secure,STEVE BRIDGES,none,none,https://euobserver.com/health-and-society/139590,"BRUSSELS, 24. OCT 2017, 15:56",https://media.euobserver.com/0a3bb6650a920bc17c1cd5571e4a2698-800x.jpg
EU gives thumbs up to US data pact,CATERINA TANI,none,none,https://euobserver.com/rule-of-law/139525,"BRUSSELS, 18. OCT 2017, 19:09",https://media.euobserver.com/29cc154460f6e2b7e2f7e3969455c558-800x.jpg
Court battles intensifies on MEPs' 'private' expenses,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/eu-political/139471,"BRUSSELS, 18. OCT 2017, 14:31",https://media.euobserver.com/0411511335d941be0d0d79d8f2dc9bbb-800x.jpg
"EU privacy rules tilt to industry, NGO says",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139475,"BRUSSELS, 17. OCT 2017, 07:46",none
Rights charter in limbo during Brexit spats,BENJAMIN FOX,none,none,https://euobserver.com/world/139441,"LONDON, 16. OCT 2017, 08:31",https://media.euobserver.com/eb8dd34d6c0d92dd148497458cf63681-800x.jpg
Interpol and the EU: don't play politics,RUTSEL SILVESTRE J. MARTHA AND STEPHEN BAILEY,none,none,https://euobserver.com/opinion/139446,"LONDON, 16. OCT 2017, 08:26",https://media.euobserver.com/a6c4f05e923b42c16788e24f9c934739-800x.jpg
EU states copy Israel's 'predictive policing',"STAFFAN DAHLLOF, ORR HIRSCHAUGE, HAGAR SHEZAF, JENNIFER BAKER AND NIKOLAJ NIELSEN",none,none,https://euobserver.com/rule-of-law/139277,"6. OCT 2017, 17:47",https://media.euobserver.com/98ff291708bdcdd4fdb9aad858dd53f0-800x.jpg
EU court to probe new Facebook data challenge,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139264,"BRUSSELS, 3. OCT 2017, 18:42",https://media.euobserver.com/cfc32c9bdb2584cd9387fc790808ca89-800x.jpg
Europol keen to bend rules on Libya cases,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/migration/139172,"BRUSSELS, 27. SEP 2017, 09:29",https://media.euobserver.com/fe8f63683540dc2c726f7b7b2fc50a6e-800x.jpg
US tests EU patience over Privacy Shield,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/139143,"BRUSSELS, 25. SEP 2017, 17:40",https://media.euobserver.com/ee9e5e6cf4925b9d9cb822e24ad55904-800x.jpg
EU and US praise data deal,EUOBSERVER,none,none,https://euobserver.com/tickers/139099,"21. SEP 2017, 16:36",none
EU and US kick off data protection review,EUOBSERVER,none,none,https://euobserver.com/tickers/139061,"18. SEP 2017, 18:31",none
Former US envoy to work in EU lobby-law firm,EUOBSERVER,none,none,https://euobserver.com/tickers/139047,"18. SEP 2017, 09:30",none
German vote and Brexit speech This Week,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/agenda/139042,"BRUSSELS, 18. SEP 2017, 09:09",https://media.euobserver.com/f9858d778488d945950bffd4739ba8a7-800x.jpg
Nine lines that changed history - at least on the internet,ANDREAS MARCKMANN ANDREASSEN,none,none,https://euobserver.com/digital/138958,"COPENHAGEN, 13. SEP 2017, 08:52",https://media.euobserver.com/a6d2dec2f66d1e8745233b2d00b80432-800x.jpg
Commission right to reject screen-scraping ban,NICK WALLACE,none,none,https://euobserver.com/digital/138824,"BRUSSELS, 30. AUG 2017, 09:14",https://media.euobserver.com/2eddb91ff9de130fe69f40eaeaf31b71-800x.jpg
EU court could dismiss national borders in cyberspace,JAMES D. SPELLMAN,none,none,https://euobserver.com/opinion/138628,"BRUSSELS, 27. JUL 2017, 17:28",https://media.euobserver.com/24b862fc08860131a45bf3a5adc94267-800x.jpg
EU defends airline data-sharing after court ruling,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/rule-of-law/138621,"BRUSSELS, 26. JUL 2017, 18:41",https://media.euobserver.com/1817a86471c6d9151893d7c3086a62e7-800x.jpg
EU pressures firms to tackle online terrorism,PETER TEFFER AND ALEKSANDRA ERIKSSON,none,none,https://euobserver.com/rule-of-law/138321,"BRUSSELS, 22. JUN 2017, 22:02",https://media.euobserver.com/e99bb611eace2548b3ebcae59634bf4a-800x.jpg
Border management going virtual,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/138317,"BRUSSELS, 22. JUN 2017, 18:01",https://media.euobserver.com/d4df1726565982c3825a2f2308a8ef83-800x.jpg
New EU right to data portability to cause headaches,PETER TEFFER,none,none,https://euobserver.com/digital/137977,"BRUSSELS, 24. MAY 2017, 13:41",https://media.euobserver.com/7414b1e90254b9c452bc58d2cf658900-800x.jpg
Digital portfolio will suit the new Bulgarian commissioner,ELI HADZIHEVA,none,none,https://euobserver.com/opinion/137941,"BRUSSELS, 18. MAY 2017, 14:34",https://media.euobserver.com/7a86ef9cdf905fef30a6312077b388f3-800x.jpg
EU fines Facebook €110 million for WhatsApp lie,PETER TEFFER,none,none,https://euobserver.com/digital/137953,"BRUSSELS, 18. MAY 2017, 09:12",https://media.euobserver.com/e99bb611eace2548b3ebcae59634bf4a-800x.jpg
French data watchdog fines Facebook,EUOBSERVER,none,none,https://euobserver.com/tickers/137923,"16. MAY 2017, 13:41",none
MEPs urge review of US data pact,EUOBSERVER,none,none,https://euobserver.com/tickers/137531,"7. APR 2017, 09:26",none
"Brexit, Syria and Greece on the agenda This WEEK",ERIC MAURICE,none,none,https://euobserver.com/agenda/137471,"BRUSSELS, 3. APR 2017, 09:19",https://media.euobserver.com/42aacf94399d539e8b677b99b86ee68e-800x.jpg
EU trying to salvage US deal on data privacy,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/137438,"BRUSSELS, 30. MAR 2017, 09:27",https://media.euobserver.com/81197f34e53cae0f5af311b50b2ec3b6-800x.jpg
"France's Fillon sinking, Macron emerges with programme",ERIC MAURICE,none,none,https://euobserver.com/eu-political/137099,"BRUSSELS, 3. MAR 2017, 09:27",https://media.euobserver.com/098fad202e8b571e5f23a094900084db-800x.jpg
